Numero de documentos del corpus:6152
Numero de palabras del corpus:86287
Palabra:_ Frec:297 LogProb:-8.483721112678978
Palabra:abstract Frec:1 LogProb:-15.70288963314114
Palabra:absurdly Frec:1 LogProb:-15.70288963314114
Palabra:abt Frec:1 LogProb:-15.70288963314114
Palabra:abuse Frec:3 LogProb:-14.70288963314114
Palabra:abused Frec:3 LogProb:-14.70288963314114
Palabra:ac Frec:2 LogProb:-15.117927132419982
Palabra:academia Frec:1 LogProb:-15.70288963314114
Palabra:academy Frec:1 LogProb:-15.70288963314114
Palabra:acc Frec:1 LogProb:-15.70288963314114
Palabra:accept Frec:2 LogProb:-15.117927132419982
Palabra:accepts Frec:1 LogProb:-15.70288963314114
Palabra:access Frec:10 LogProb:-13.243458014503844
Palabra:accf Frec:1 LogProb:-15.70288963314114
Palabra:accident Frec:35 LogProb:-11.532964631698826
Palabra:accidentally Frec:4 LogProb:-14.380961538253777
Palabra:accidentalprophecy Frec:1 LogProb:-15.70288963314114
Palabra:accidently Frec:1 LogProb:-15.70288963314114
Palabra:accidents Frec:3 LogProb:-14.70288963314114
Palabra:accompanying Frec:1 LogProb:-15.70288963314114
Palabra:according Frec:9 LogProb:-13.380961538253777
Palabra:accordingly Frec:1 LogProb:-15.70288963314114
Palabra:account Frec:13 LogProb:-12.895534711083537
Palabra:accountability Frec:1 LogProb:-15.70288963314114
Palabra:accountable Frec:1 LogProb:-15.70288963314114
Palabra:accounts Frec:3 LogProb:-14.70288963314114
Palabra:accurate Frec:1 LogProb:-15.70288963314114
Palabra:accurately Frec:1 LogProb:-15.70288963314114
Palabra:accused Frec:2 LogProb:-15.117927132419982
Palabra:accuses Frec:3 LogProb:-14.70288963314114
Palabra:accustomed Frec:2 LogProb:-15.117927132419982
Palabra:acdelco Frec:3 LogProb:-14.70288963314114
Palabra:ace Frec:2 LogProb:-15.117927132419982
Palabra:acesse Frec:1 LogProb:-15.70288963314114
Palabra:achieve Frec:1 LogProb:-15.70288963314114
Palabra:achievement Frec:1 LogProb:-15.70288963314114
Palabra:achievements Frec:1 LogProb:-15.70288963314114
Palabra:achieving Frec:1 LogProb:-15.70288963314114
Palabra:achimota Frec:2 LogProb:-15.117927132419982
Palabra:aching Frec:1 LogProb:-15.70288963314114
Palabra:acid Frec:2 LogProb:-15.117927132419982
Palabra:acids Frec:1 LogProb:-15.70288963314114
Palabra:acne Frec:1 LogProb:-15.70288963314114
Palabra:acoustic Frec:3 LogProb:-14.70288963314114
Palabra:acquire Frec:1 LogProb:-15.70288963314114
Palabra:acquisition Frec:3 LogProb:-14.70288963314114
Palabra:acquisitions Frec:2 LogProb:-15.117927132419982
Palabra:acronym Frec:1 LogProb:-15.70288963314114
Palabra:across Frec:9 LogProb:-13.380961538253777
Palabra:acrrw Frec:1 LogProb:-15.70288963314114
Palabra:act Frec:10 LogProb:-13.243458014503844
Palabra:actavis Frec:1 LogProb:-15.70288963314114
Palabra:acted Frec:2 LogProb:-15.117927132419982
Palabra:actin Frec:1 LogProb:-15.70288963314114
Palabra:acting Frec:4 LogProb:-14.380961538253777
Palabra:action Frec:10 LogProb:-13.243458014503844
Palabra:actionmoviestaughtus Frec:1 LogProb:-15.70288963314114
Palabra:actions Frec:3 LogProb:-14.70288963314114
Palabra:activate Frec:2 LogProb:-15.117927132419982
Palabra:activated Frec:2 LogProb:-15.117927132419982
Palabra:active Frec:4 LogProb:-14.380961538253777
Palabra:actively Frec:1 LogProb:-15.70288963314114
Palabra:activision Frec:1 LogProb:-15.70288963314114
Palabra:activities Frec:2 LogProb:-15.117927132419982
Palabra:activity Frec:2 LogProb:-15.117927132419982
Palabra:actor Frec:2 LogProb:-15.117927132419982
Palabra:acts Frec:2 LogProb:-15.117927132419982
Palabra:actual Frec:6 LogProb:-13.895534711083537
Palabra:actually Frec:28 LogProb:-11.844908638013568
Palabra:acura Frec:1 LogProb:-15.70288963314114
Palabra:aczp Frec:1 LogProb:-15.70288963314114
Palabra:ad Frec:2 LogProb:-15.117927132419982
Palabra:adam Frec:2 LogProb:-15.117927132419982
Palabra:adani Frec:2 LogProb:-15.117927132419982
Palabra:adapt Frec:1 LogProb:-15.70288963314114
Palabra:adaptation Frec:1 LogProb:-15.70288963314114
Palabra:add Frec:8 LogProb:-13.532964631698828
Palabra:added Frec:19 LogProb:-12.380961538253777
Palabra:addiction Frec:4 LogProb:-14.380961538253777
Palabra:addicts Frec:1 LogProb:-15.70288963314114
Palabra:adding Frec:2 LogProb:-15.117927132419982
Palabra:addition Frec:2 LogProb:-15.117927132419982
Palabra:address Frec:5 LogProb:-14.117927132419982
Palabra:addresses Frec:1 LogProb:-15.70288963314114
Palabra:addtexastonext Frec:1 LogProb:-15.70288963314114
Palabra:addvbsx Frec:1 LogProb:-15.70288963314114
Palabra:adelaide Frec:1 LogProb:-15.70288963314114
Palabra:adhd Frec:1 LogProb:-15.70288963314114
Palabra:adidas Frec:1 LogProb:-15.70288963314114
Palabra:adiossuperbacterias Frec:1 LogProb:-15.70288963314114
Palabra:adjusted Frec:1 LogProb:-15.70288963314114
Palabra:adjuster Frec:1 LogProb:-15.70288963314114
Palabra:adjustments Frec:1 LogProb:-15.70288963314114
Palabra:adkz Frec:1 LogProb:-15.70288963314114
Palabra:admin Frec:2 LogProb:-15.117927132419982
Palabra:administer Frec:1 LogProb:-15.70288963314114
Palabra:administration Frec:3 LogProb:-14.70288963314114
Palabra:administrative Frec:1 LogProb:-15.70288963314114
Palabra:administrator Frec:1 LogProb:-15.70288963314114
Palabra:admins Frec:1 LogProb:-15.70288963314114
Palabra:admiral Frec:1 LogProb:-15.70288963314114
Palabra:admired Frec:1 LogProb:-15.70288963314114
Palabra:admit Frec:2 LogProb:-15.117927132419982
Palabra:admits Frec:5 LogProb:-14.117927132419982
Palabra:admitted Frec:1 LogProb:-15.70288963314114
Palabra:adoption Frec:1 LogProb:-15.70288963314114
Palabra:adoptive Frec:1 LogProb:-15.70288963314114
Palabra:adorable Frec:1 LogProb:-15.70288963314114
Palabra:ads Frec:2 LogProb:-15.117927132419982
Palabra:adult Frec:7 LogProb:-13.70288963314114
Palabra:adultress Frec:1 LogProb:-15.70288963314114
Palabra:adults Frec:2 LogProb:-15.117927132419982
Palabra:advance Frec:2 LogProb:-15.117927132419982
Palabra:advanced Frec:3 LogProb:-14.70288963314114
Palabra:advancedwarfare Frec:1 LogProb:-15.70288963314114
Palabra:advances Frec:1 LogProb:-15.70288963314114
Palabra:advantages Frec:1 LogProb:-15.70288963314114
Palabra:adventure Frec:1 LogProb:-15.70288963314114
Palabra:adventures Frec:2 LogProb:-15.117927132419982
Palabra:advertise Frec:1 LogProb:-15.70288963314114
Palabra:advertised Frec:2 LogProb:-15.117927132419982
Palabra:advice Frec:5 LogProb:-14.117927132419982
Palabra:advisory Frec:1 LogProb:-15.70288963314114
Palabra:adzursw Frec:1 LogProb:-15.70288963314114
Palabra:ae Frec:1 LogProb:-15.70288963314114
Palabra:aedak Frec:1 LogProb:-15.70288963314114
Palabra:aesthetic Frec:1 LogProb:-15.70288963314114
Palabra:aeux Frec:1 LogProb:-15.70288963314114
Palabra:af Frec:6 LogProb:-13.895534711083537
Palabra:afc Frec:2 LogProb:-15.117927132419982
Palabra:affair Frec:1 LogProb:-15.70288963314114
Palabra:affected Frec:1 LogProb:-15.70288963314114
Palabra:affecting Frec:2 LogProb:-15.117927132419982
Palabra:affection Frec:1 LogProb:-15.70288963314114
Palabra:affects Frec:4 LogProb:-14.380961538253777
Palabra:affiliate Frec:2 LogProb:-15.117927132419982
Palabra:affleck Frec:2 LogProb:-15.117927132419982
Palabra:afford Frec:2 LogProb:-15.117927132419982
Palabra:affordable Frec:1 LogProb:-15.70288963314114
Palabra:afghan Frec:1 LogProb:-15.70288963314114
Palabra:afghanistan Frec:2 LogProb:-15.117927132419982
Palabra:afql Frec:1 LogProb:-15.70288963314114
Palabra:afqlmn Frec:1 LogProb:-15.70288963314114
Palabra:afraid Frec:4 LogProb:-14.380961538253777
Palabra:africa Frec:4 LogProb:-14.380961538253777
Palabra:african Frec:3 LogProb:-14.70288963314114
Palabra:africans Frec:1 LogProb:-15.70288963314114
Palabra:africansinsf Frec:1 LogProb:-15.70288963314114
Palabra:afrikaan Frec:1 LogProb:-15.70288963314114
Palabra:after Frec:106 LogProb:-9.961422646739994
Palabra:afterlife Frec:4 LogProb:-14.380961538253777
Palabra:afternoon Frec:1 LogProb:-15.70288963314114
Palabra:aftershock Frec:30 LogProb:-11.748693322754264
Palabra:afterwards Frec:1 LogProb:-15.70288963314114
Palabra:aftz Frec:1 LogProb:-15.70288963314114
Palabra:ag Frec:2 LogProb:-15.117927132419982
Palabra:aga Frec:1 LogProb:-15.70288963314114
Palabra:again Frec:46 LogProb:-11.148300781463503
Palabra:against Frec:28 LogProb:-11.844908638013568
Palabra:agalloch Frec:1 LogProb:-15.70288963314114
Palabra:agdq Frec:1 LogProb:-15.70288963314114
Palabra:age Frec:6 LogProb:-13.895534711083537
Palabra:agencies Frec:2 LogProb:-15.117927132419982
Palabra:agency Frec:3 LogProb:-14.70288963314114
Palabra:agent Frec:2 LogProb:-15.117927132419982
Palabra:ages Frec:6 LogProb:-13.895534711083537
Palabra:aggfnxz Frec:1 LogProb:-15.70288963314114
Palabra:aggressif Frec:1 LogProb:-15.70288963314114
Palabra:aggression Frec:1 LogProb:-15.70288963314114
Palabra:aggressive Frec:2 LogProb:-15.117927132419982
Palabra:aggressively Frec:2 LogProb:-15.117927132419982
Palabra:aging Frec:1 LogProb:-15.70288963314114
Palabra:agnivesh Frec:1 LogProb:-15.70288963314114
Palabra:agnus Frec:1 LogProb:-15.70288963314114
Palabra:ago Frec:14 LogProb:-12.79599903753262
Palabra:agony Frec:1 LogProb:-15.70288963314114
Palabra:agotw Frec:1 LogProb:-15.70288963314114
Palabra:agps Frec:1 LogProb:-15.70288963314114
Palabra:agq Frec:1 LogProb:-15.70288963314114
Palabra:agree Frec:12 LogProb:-13.002449915000046
Palabra:agreed Frec:3 LogProb:-14.70288963314114
Palabra:agrees Frec:5 LogProb:-14.117927132419982
Palabra:aguero Frec:2 LogProb:-15.117927132419982
Palabra:agw Frec:1 LogProb:-15.70288963314114
Palabra:agz Frec:1 LogProb:-15.70288963314114
Palabra:ah Frec:7 LogProb:-13.70288963314114
Palabra:ahahahga Frec:1 LogProb:-15.70288963314114
Palabra:ahamedis Frec:1 LogProb:-15.70288963314114
Palabra:ahead Frec:14 LogProb:-12.79599903753262
Palabra:ahgfmudt Frec:1 LogProb:-15.70288963314114
Palabra:ahh Frec:2 LogProb:-15.117927132419982
Palabra:ahhhh Frec:2 LogProb:-15.117927132419982
Palabra:ahhhhh Frec:1 LogProb:-15.70288963314114
Palabra:ahrar Frec:1 LogProb:-15.70288963314114
Palabra:ahv Frec:1 LogProb:-15.70288963314114
Palabra:ahxpch Frec:1 LogProb:-15.70288963314114
Palabra:ai Frec:2 LogProb:-15.117927132419982
Palabra:aichi Frec:1 LogProb:-15.70288963314114
Palabra:aiden Frec:1 LogProb:-15.70288963314114
Palabra:aids Frec:1 LogProb:-15.70288963314114
Palabra:aiii Frec:1 LogProb:-15.70288963314114
Palabra:aim Frec:3 LogProb:-14.70288963314114
Palabra:ain Frec:20 LogProb:-12.310572210362379
Palabra:aint Frec:2 LogProb:-15.117927132419982
Palabra:aintsheperty Frec:1 LogProb:-15.70288963314114
Palabra:air Frec:16 LogProb:-12.6154267918908
Palabra:airborne Frec:1 LogProb:-15.70288963314114
Palabra:aircraft Frec:1 LogProb:-15.70288963314114
Palabra:airhead Frec:1 LogProb:-15.70288963314114
Palabra:airhorns Frec:1 LogProb:-15.70288963314114
Palabra:airplane Frec:7 LogProb:-13.70288963314114
Palabra:airplanes Frec:1 LogProb:-15.70288963314114
Palabra:airport Frec:2 LogProb:-15.117927132419982
Palabra:airsoft Frec:1 LogProb:-15.70288963314114
Palabra:airwaves Frec:1 LogProb:-15.70288963314114
Palabra:aisle Frec:1 LogProb:-15.70288963314114
Palabra:aivrbr Frec:1 LogProb:-15.70288963314114
Palabra:aj Frec:2 LogProb:-15.117927132419982
Palabra:ak Frec:6 LogProb:-13.895534711083537
Palabra:aka Frec:6 LogProb:-13.895534711083537
Palabra:akame Frec:1 LogProb:-15.70288963314114
Palabra:akfnejf Frec:1 LogProb:-15.70288963314114
Palabra:akfvsm Frec:1 LogProb:-15.70288963314114
Palabra:akito Frec:1 LogProb:-15.70288963314114
Palabra:akjm Frec:1 LogProb:-15.70288963314114
Palabra:akly Frec:1 LogProb:-15.70288963314114
Palabra:akn Frec:1 LogProb:-15.70288963314114
Palabra:akon Frec:1 LogProb:-15.70288963314114
Palabra:akpu Frec:1 LogProb:-15.70288963314114
Palabra:akwa Frec:1 LogProb:-15.70288963314114
Palabra:akx Frec:1 LogProb:-15.70288963314114
Palabra:aky Frec:1 LogProb:-15.70288963314114
Palabra:al Frec:5 LogProb:-14.117927132419982
Palabra:alabama Frec:1 LogProb:-15.70288963314114
Palabra:alan Frec:1 LogProb:-15.70288963314114
Palabra:alarm Frec:4 LogProb:-14.380961538253777
Palabra:alarming Frec:1 LogProb:-15.70288963314114
Palabra:alarmingly Frec:1 LogProb:-15.70288963314114
Palabra:alarms Frec:1 LogProb:-15.70288963314114
Palabra:alas Frec:1 LogProb:-15.70288963314114
Palabra:alaska Frec:2 LogProb:-15.117927132419982
Palabra:alaskan Frec:1 LogProb:-15.70288963314114
Palabra:alaskaseafood Frec:1 LogProb:-15.70288963314114
Palabra:alba Frec:1 LogProb:-15.70288963314114
Palabra:albany Frec:1 LogProb:-15.70288963314114
Palabra:albert Frec:1 LogProb:-15.70288963314114
Palabra:albertans Frec:1 LogProb:-15.70288963314114
Palabra:albertsons Frec:1 LogProb:-15.70288963314114
Palabra:album Frec:19 LogProb:-12.380961538253777
Palabra:albums Frec:1 LogProb:-15.70288963314114
Palabra:alcohol Frec:4 LogProb:-14.380961538253777
Palabra:alcoholism Frec:2 LogProb:-15.117927132419982
Palabra:aldridge Frec:1 LogProb:-15.70288963314114
Palabra:alec Frec:1 LogProb:-15.70288963314114
Palabra:alejandro Frec:1 LogProb:-15.70288963314114
Palabra:alert Frec:2 LogProb:-15.117927132419982
Palabra:alex Frec:4 LogProb:-14.380961538253777
Palabra:alexis Frec:1 LogProb:-15.70288963314114
Palabra:alfons Frec:1 LogProb:-15.70288963314114
Palabra:alfredo Frec:1 LogProb:-15.70288963314114
Palabra:algae Frec:2 LogProb:-15.117927132419982
Palabra:alhaji Frec:1 LogProb:-15.70288963314114
Palabra:ali Frec:1 LogProb:-15.70288963314114
Palabra:aliens Frec:1 LogProb:-15.70288963314114
Palabra:align Frec:1 LogProb:-15.70288963314114
Palabra:alisonannyoung Frec:1 LogProb:-15.70288963314114
Palabra:alive Frec:13 LogProb:-12.895534711083537
Palabra:aliyu Frec:1 LogProb:-15.70288963314114
Palabra:all Frec:257 LogProb:-8.691662377717885
Palabra:allah Frec:4 LogProb:-14.380961538253777
Palabra:allegations Frec:3 LogProb:-14.70288963314114
Palabra:allegedly Frec:1 LogProb:-15.70288963314114
Palabra:allegiance Frec:1 LogProb:-15.70288963314114
Palabra:allen Frec:1 LogProb:-15.70288963314114
Palabra:alley Frec:1 LogProb:-15.70288963314114
Palabra:alliance Frec:2 LogProb:-15.117927132419982
Palabra:allied Frec:1 LogProb:-15.70288963314114
Palabra:alllivesmatter Frec:2 LogProb:-15.117927132419982
Palabra:alllll Frec:1 LogProb:-15.70288963314114
Palabra:allow Frec:2 LogProb:-15.117927132419982
Palabra:allowed Frec:3 LogProb:-14.70288963314114
Palabra:allows Frec:3 LogProb:-14.70288963314114
Palabra:alloy Frec:3 LogProb:-14.70288963314114
Palabra:allthekidneybeansandsorbet Frec:1 LogProb:-15.70288963314114
Palabra:ally Frec:2 LogProb:-15.117927132419982
Palabra:almost Frec:21 LogProb:-12.243458014503844
Palabra:alois Frec:2 LogProb:-15.117927132419982
Palabra:alone Frec:17 LogProb:-12.532964631698828
Palabra:along Frec:9 LogProb:-13.380961538253777
Palabra:alot Frec:3 LogProb:-14.70288963314114
Palabra:alpha Frec:2 LogProb:-15.117927132419982
Palabra:alrasyid Frec:1 LogProb:-15.70288963314114
Palabra:already Frec:31 LogProb:-11.70288963314114
Palabra:alredy Frec:1 LogProb:-15.70288963314114
Palabra:alright Frec:6 LogProb:-13.895534711083537
Palabra:alrighty Frec:1 LogProb:-15.70288963314114
Palabra:also Frec:43 LogProb:-11.243458014503842
Palabra:altamonte Frec:2 LogProb:-15.117927132419982
Palabra:altered Frec:1 LogProb:-15.70288963314114
Palabra:alternate Frec:1 LogProb:-15.70288963314114
Palabra:alternatives Frec:4 LogProb:-14.380961538253777
Palabra:although Frec:5 LogProb:-14.117927132419982
Palabra:altitude Frec:1 LogProb:-15.70288963314114
Palabra:alton Frec:1 LogProb:-15.70288963314114
Palabra:alves Frec:1 LogProb:-15.70288963314114
Palabra:always Frec:50 LogProb:-11.030464291169645
Palabra:alwaysaho Frec:1 LogProb:-15.70288963314114
Palabra:am Frec:69 LogProb:-10.573606616196173
Palabra:amageddon Frec:1 LogProb:-15.70288963314114
Palabra:amalie Frec:1 LogProb:-15.70288963314114
Palabra:amanda Frec:1 LogProb:-15.70288963314114
Palabra:amazed Frec:1 LogProb:-15.70288963314114
Palabra:amazin Frec:1 LogProb:-15.70288963314114
Palabra:amazing Frec:13 LogProb:-12.895534711083537
Palabra:amazingness Frec:1 LogProb:-15.70288963314114
Palabra:amazingracecanada Frec:1 LogProb:-15.70288963314114
Palabra:amazon Frec:14 LogProb:-12.79599903753262
Palabra:amazondeals Frec:1 LogProb:-15.70288963314114
Palabra:amber Frec:1 LogProb:-15.70288963314114
Palabra:ambgafq Frec:1 LogProb:-15.70288963314114
Palabra:ambi Frec:1 LogProb:-15.70288963314114
Palabra:ambition Frec:2 LogProb:-15.117927132419982
Palabra:ambleside Frec:1 LogProb:-15.70288963314114
Palabra:ambulance Frec:23 LogProb:-12.117927132419982
Palabra:amcx Frec:1 LogProb:-15.70288963314114
Palabra:amen Frec:3 LogProb:-14.70288963314114
Palabra:amends Frec:2 LogProb:-15.117927132419982
Palabra:ameribag Frec:1 LogProb:-15.70288963314114
Palabra:america Frec:21 LogProb:-12.243458014503844
Palabra:american Frec:10 LogProb:-13.243458014503844
Palabra:americans Frec:4 LogProb:-14.380961538253777
Palabra:ames Frec:2 LogProb:-15.117927132419982
Palabra:amh Frec:1 LogProb:-15.70288963314114
Palabra:amico Frec:1 LogProb:-15.70288963314114
Palabra:amicospizzato Frec:1 LogProb:-15.70288963314114
Palabra:amid Frec:3 LogProb:-14.70288963314114
Palabra:amiibos Frec:1 LogProb:-15.70288963314114
Palabra:amino Frec:1 LogProb:-15.70288963314114
Palabra:amirite Frec:2 LogProb:-15.117927132419982
Palabra:amnmd Frec:1 LogProb:-15.70288963314114
Palabra:amo Frec:1 LogProb:-15.70288963314114
Palabra:among Frec:10 LogProb:-13.243458014503844
Palabra:amongst Frec:2 LogProb:-15.117927132419982
Palabra:amp Frec:283 LogProb:-8.553142513636457
Palabra:ampl Frec:1 LogProb:-15.70288963314114
Palabra:amplifier Frec:3 LogProb:-14.70288963314114
Palabra:amreading Frec:1 LogProb:-15.70288963314114
Palabra:amsal Frec:1 LogProb:-15.70288963314114
Palabra:amwriting Frec:1 LogProb:-15.70288963314114
Palabra:an Frec:184 LogProb:-9.171508172624828
Palabra:anacrusis Frec:1 LogProb:-15.70288963314114
Palabra:anaheim Frec:1 LogProb:-15.70288963314114
Palabra:anakin Frec:1 LogProb:-15.70288963314114
Palabra:analog Frec:1 LogProb:-15.70288963314114
Palabra:analogy Frec:1 LogProb:-15.70288963314114
Palabra:analysis Frec:1 LogProb:-15.70288963314114
Palabra:anchor Frec:1 LogProb:-15.70288963314114
Palabra:anchorage Frec:2 LogProb:-15.117927132419982
Palabra:anchors Frec:1 LogProb:-15.70288963314114
Palabra:ancient Frec:24 LogProb:-12.059033443366415
Palabra:ancop Frec:1 LogProb:-15.70288963314114
Palabra:and Frec:1255 LogProb:-6.408268884249512
Palabra:andals Frec:1 LogProb:-15.70288963314114
Palabra:andre Frec:1 LogProb:-15.70288963314114
Palabra:andreas Frec:1 LogProb:-15.70288963314114
Palabra:andrew Frec:2 LogProb:-15.117927132419982
Palabra:android Frec:2 LogProb:-15.117927132419982
Palabra:androidgames Frec:1 LogProb:-15.70288963314114
Palabra:ands Frec:1 LogProb:-15.70288963314114
Palabra:andy Frec:3 LogProb:-14.70288963314114
Palabra:angel Frec:8 LogProb:-13.532964631698828
Palabra:angeles Frec:4 LogProb:-14.380961538253777
Palabra:angelina Frec:1 LogProb:-15.70288963314114
Palabra:angels Frec:1 LogProb:-15.70288963314114
Palabra:anger Frec:5 LogProb:-14.117927132419982
Palabra:angers Frec:1 LogProb:-15.70288963314114
Palabra:angry Frec:13 LogProb:-12.895534711083537
Palabra:animal Frec:9 LogProb:-13.380961538253777
Palabra:animalrescue Frec:8 LogProb:-13.532964631698828
Palabra:animals Frec:6 LogProb:-13.895534711083537
Palabra:animated Frec:1 LogProb:-15.70288963314114
Palabra:animations Frec:1 LogProb:-15.70288963314114
Palabra:animatronics Frec:1 LogProb:-15.70288963314114
Palabra:anime Frec:2 LogProb:-15.117927132419982
Palabra:aniston Frec:3 LogProb:-14.70288963314114
Palabra:ankle Frec:6 LogProb:-13.895534711083537
Palabra:ankles Frec:1 LogProb:-15.70288963314114
Palabra:anna Frec:3 LogProb:-14.70288963314114
Palabra:annddd Frec:1 LogProb:-15.70288963314114
Palabra:annihilated Frec:33 LogProb:-11.6154267918908
Palabra:annihilation Frec:26 LogProb:-11.948002130977672
Palabra:anniversary Frec:2 LogProb:-15.117927132419982
Palabra:annoucement Frec:1 LogProb:-15.70288963314114
Palabra:announce Frec:1 LogProb:-15.70288963314114
Palabra:announcement Frec:4 LogProb:-14.380961538253777
Palabra:announces Frec:1 LogProb:-15.70288963314114
Palabra:annoyed Frec:1 LogProb:-15.70288963314114
Palabra:annoying Frec:3 LogProb:-14.70288963314114
Palabra:annual Frec:3 LogProb:-14.70288963314114
Palabra:anomaly Frec:1 LogProb:-15.70288963314114
Palabra:anonymous Frec:1 LogProb:-15.70288963314114
Palabra:another Frec:51 LogProb:-11.002449915000048
Palabra:anq Frec:1 LogProb:-15.70288963314114
Palabra:answer Frec:14 LogProb:-12.79599903753262
Palabra:answered Frec:1 LogProb:-15.70288963314114
Palabra:answers Frec:2 LogProb:-15.117927132419982
Palabra:ant Frec:1 LogProb:-15.70288963314114
Palabra:antam Frec:1 LogProb:-15.70288963314114
Palabra:antebellum Frec:1 LogProb:-15.70288963314114
Palabra:anterior Frec:1 LogProb:-15.70288963314114
Palabra:anthelmintic Frec:1 LogProb:-15.70288963314114
Palabra:anthology Frec:1 LogProb:-15.70288963314114
Palabra:anthony Frec:1 LogProb:-15.70288963314114
Palabra:anthrax Frec:6 LogProb:-13.895534711083537
Palabra:anti Frec:13 LogProb:-12.895534711083537
Palabra:antichrist Frec:1 LogProb:-15.70288963314114
Palabra:antioch Frec:2 LogProb:-15.117927132419982
Palabra:antiochus Frec:1 LogProb:-15.70288963314114
Palabra:antipozi Frec:1 LogProb:-15.70288963314114
Palabra:antonio Frec:1 LogProb:-15.70288963314114
Palabra:antony Frec:1 LogProb:-15.70288963314114
Palabra:ants Frec:1 LogProb:-15.70288963314114
Palabra:anxiety Frec:5 LogProb:-14.117927132419982
Palabra:anxious Frec:1 LogProb:-15.70288963314114
Palabra:any Frec:52 LogProb:-10.974969178577942
Palabra:anybody Frec:4 LogProb:-14.380961538253777
Palabra:anymore Frec:10 LogProb:-13.243458014503844
Palabra:anyone Frec:23 LogProb:-12.117927132419982
Palabra:anything Frec:24 LogProb:-12.059033443366415
Palabra:anyway Frec:6 LogProb:-13.895534711083537
Palabra:anyways Frec:2 LogProb:-15.117927132419982
Palabra:anywhere Frec:1 LogProb:-15.70288963314114
Palabra:ao Frec:2 LogProb:-15.117927132419982
Palabra:aogcsoy Frec:1 LogProb:-15.70288963314114
Palabra:aoms Frec:1 LogProb:-15.70288963314114
Palabra:aox Frec:1 LogProb:-15.70288963314114
Palabra:ap Frec:2 LogProb:-15.117927132419982
Palabra:apart Frec:3 LogProb:-14.70288963314114
Palabra:apartment Frec:3 LogProb:-14.70288963314114
Palabra:apartments Frec:2 LogProb:-15.117927132419982
Palabra:apc Frec:7 LogProb:-13.70288963314114
Palabra:apch Frec:3 LogProb:-14.70288963314114
Palabra:apiece Frec:1 LogProb:-15.70288963314114
Palabra:apm Frec:1 LogProb:-15.70288963314114
