Numero de documentos del corpus:4654
Numero de palabras del corpus:67361
Palabra:_ Frec:271 LogProb:-8.333665104591756
Palabra:affiliate Frec:2 LogProb:-14.836165445120939
Palabra:affiliated Frec:1 LogProb:-15.421127945842095
Palabra:affiliation Frec:2 LogProb:-14.836165445120939
Palabra:affliction Frec:1 LogProb:-15.421127945842095
Palabra:affluent Frec:1 LogProb:-15.421127945842095
Palabra:affordable Frec:1 LogProb:-15.421127945842095
Palabra:afghan Frec:6 LogProb:-13.61377302378449
Palabra:afghanistan Frec:7 LogProb:-13.421127945842096
Palabra:afghetc Frec:1 LogProb:-15.421127945842095
Palabra:afloat Frec:1 LogProb:-15.421127945842095
Palabra:afp Frec:3 LogProb:-14.421127945842095
Palabra:afraid Frec:4 LogProb:-14.099199850954733
Palabra:africa Frec:7 LogProb:-13.421127945842096
Palabra:africanbaze Frec:1 LogProb:-15.421127945842095
Palabra:africans Frec:1 LogProb:-15.421127945842095
Palabra:afrin Frec:1 LogProb:-15.421127945842095
Palabra:afte Frec:1 LogProb:-15.421127945842095
Palabra:after Frec:258 LogProb:-8.40431965815554
Palabra:afterhaiyan Frec:1 LogProb:-15.421127945842095
Palabra:afterlife Frec:2 LogProb:-14.836165445120939
Palabra:aftermath Frec:5 LogProb:-13.836165445120939
Palabra:afternoon Frec:10 LogProb:-12.961696327204796
Palabra:aftershock Frec:3 LogProb:-14.421127945842095
Palabra:aftershocks Frec:1 LogProb:-15.421127945842095
Palabra:afug Frec:1 LogProb:-15.421127945842095
Palabra:afycso Frec:1 LogProb:-15.421127945842095
Palabra:ag Frec:2 LogProb:-14.836165445120939
Palabra:again Frec:25 LogProb:-11.720688227701002
Palabra:against Frec:27 LogProb:-11.613773023784493
Palabra:age Frec:2 LogProb:-14.836165445120939
Palabra:aged Frec:1 LogProb:-15.421127945842095
Palabra:agen Frec:1 LogProb:-15.421127945842095
Palabra:agency Frec:2 LogProb:-14.836165445120939
Palabra:agent Frec:1 LogProb:-15.421127945842095
Palabra:agents Frec:3 LogProb:-14.421127945842095
Palabra:aggarwal Frec:1 LogProb:-15.421127945842095
Palabra:aggravated Frec:1 LogProb:-15.421127945842095
Palabra:ago Frec:22 LogProb:-11.89756598978508
Palabra:agree Frec:5 LogProb:-13.836165445120939
Palabra:agreed Frec:3 LogProb:-14.421127945842095
Palabra:agreements Frec:1 LogProb:-15.421127945842095
Palabra:agricultural Frec:1 LogProb:-15.421127945842095
Palabra:ah Frec:4 LogProb:-14.099199850954733
Palabra:ahead Frec:7 LogProb:-13.421127945842096
Palabra:ahgkq Frec:1 LogProb:-15.421127945842095
Palabra:ahh Frec:1 LogProb:-15.421127945842095
Palabra:ahnsxn Frec:1 LogProb:-15.421127945842095
Palabra:ahrar Frec:1 LogProb:-15.421127945842095
Palabra:ai Frec:3 LogProb:-14.421127945842095
Palabra:aia Frec:1 LogProb:-15.421127945842095
Palabra:aid Frec:8 LogProb:-13.251202944399783
Palabra:aids Frec:2 LogProb:-14.836165445120939
Palabra:aif Frec:1 LogProb:-15.421127945842095
Palabra:aim Frec:6 LogProb:-13.61377302378449
Palabra:aimlessly Frec:1 LogProb:-15.421127945842095
Palabra:aims Frec:1 LogProb:-15.421127945842095
Palabra:ain Frec:4 LogProb:-14.099199850954733
Palabra:air Frec:44 LogProb:-10.92927484951242
Palabra:airasia Frec:1 LogProb:-15.421127945842095
Palabra:airbase Frec:1 LogProb:-15.421127945842095
Palabra:aircraft Frec:27 LogProb:-11.613773023784493
Palabra:airdrie Frec:1 LogProb:-15.421127945842095
Palabra:airfq Frec:1 LogProb:-15.421127945842095
Palabra:airing Frec:1 LogProb:-15.421127945842095
Palabra:airj Frec:1 LogProb:-15.421127945842095
Palabra:airlift Frec:1 LogProb:-15.421127945842095
Palabra:airline Frec:1 LogProb:-15.421127945842095
Palabra:airlines Frec:15 LogProb:-12.421127945842096
Palabra:airplane Frec:43 LogProb:-10.961696327204798
Palabra:airport Frec:43 LogProb:-10.961696327204798
Palabra:airports Frec:1 LogProb:-15.421127945842095
Palabra:airstrikes Frec:1 LogProb:-15.421127945842095
Palabra:aisle Frec:1 LogProb:-15.421127945842095
Palabra:aiw Frec:1 LogProb:-15.421127945842095
Palabra:aj Frec:1 LogProb:-15.421127945842095
Palabra:ajmal Frec:1 LogProb:-15.421127945842095
Palabra:ajmiv Frec:1 LogProb:-15.421127945842095
Palabra:ajw Frec:1 LogProb:-15.421127945842095
Palabra:ak Frec:2 LogProb:-14.836165445120939
Palabra:aka Frec:3 LogProb:-14.421127945842095
Palabra:akehyx Frec:1 LogProb:-15.421127945842095
Palabra:akilah Frec:1 LogProb:-15.421127945842095
Palabra:akram Frec:1 LogProb:-15.421127945842095
Palabra:aks Frec:1 LogProb:-15.421127945842095
Palabra:akxbskdn Frec:1 LogProb:-15.421127945842095
Palabra:al Frec:7 LogProb:-13.421127945842096
Palabra:ala Frec:1 LogProb:-15.421127945842095
Palabra:alabama Frec:15 LogProb:-12.421127945842096
Palabra:alabamaquake Frec:1 LogProb:-15.421127945842095
Palabra:alameda Frec:1 LogProb:-15.421127945842095
Palabra:alarm Frec:20 LogProb:-12.028810523063335
Palabra:alarmed Frec:2 LogProb:-14.836165445120939
Palabra:alarming Frec:1 LogProb:-15.421127945842095
Palabra:alarms Frec:2 LogProb:-14.836165445120939
Palabra:alaska Frec:7 LogProb:-13.421127945842096
Palabra:albania Frec:4 LogProb:-14.099199850954733
Palabra:albany Frec:1 LogProb:-15.421127945842095
Palabra:albeit Frec:1 LogProb:-15.421127945842095
Palabra:alberta Frec:8 LogProb:-13.251202944399783
Palabra:albertville Frec:1 LogProb:-15.421127945842095
Palabra:album Frec:1 LogProb:-15.421127945842095
Palabra:alchemist Frec:1 LogProb:-15.421127945842095
Palabra:alcohol Frec:1 LogProb:-15.421127945842095
Palabra:aldwark Frec:1 LogProb:-15.421127945842095
Palabra:aleppo Frec:1 LogProb:-15.421127945842095
Palabra:alert Frec:7 LogProb:-13.421127945842096
Palabra:alertness Frec:1 LogProb:-15.421127945842095
Palabra:alerts Frec:2 LogProb:-14.836165445120939
Palabra:alexander Frec:1 LogProb:-15.421127945842095
Palabra:alexandrian Frec:1 LogProb:-15.421127945842095
Palabra:alfa Frec:1 LogProb:-15.421127945842095
Palabra:algae Frec:1 LogProb:-15.421127945842095
Palabra:algeria Frec:1 LogProb:-15.421127945842095
Palabra:algk Frec:1 LogProb:-15.421127945842095
Palabra:alibaba Frec:1 LogProb:-15.421127945842095
Palabra:alice Frec:1 LogProb:-15.421127945842095
Palabra:alien Frec:2 LogProb:-14.836165445120939
Palabra:aliens Frec:1 LogProb:-15.421127945842095
Palabra:alil Frec:1 LogProb:-15.421127945842095
Palabra:alive Frec:6 LogProb:-13.61377302378449
Palabra:all Frec:106 LogProb:-9.679660959440948
Palabra:allah Frec:6 LogProb:-13.61377302378449
Palabra:allahuakbar Frec:1 LogProb:-15.421127945842095
Palabra:allay Frec:1 LogProb:-15.421127945842095
Palabra:allegations Frec:1 LogProb:-15.421127945842095
Palabra:alleged Frec:6 LogProb:-13.61377302378449
Palabra:allegedly Frec:1 LogProb:-15.421127945842095
Palabra:allegiance Frec:1 LogProb:-15.421127945842095
Palabra:allergan Frec:1 LogProb:-15.421127945842095
Palabra:allergic Frec:1 LogProb:-15.421127945842095
Palabra:alley Frec:1 LogProb:-15.421127945842095
Palabra:allied Frec:1 LogProb:-15.421127945842095
Palabra:allies Frec:3 LogProb:-14.421127945842095
Palabra:allocating Frec:1 LogProb:-15.421127945842095
Palabra:alloosh Frec:1 LogProb:-15.421127945842095
Palabra:allotment Frec:1 LogProb:-15.421127945842095
Palabra:allow Frec:5 LogProb:-13.836165445120939
Palabra:allowed Frec:2 LogProb:-14.836165445120939
Palabra:allows Frec:12 LogProb:-12.720688227701002
Palabra:alloy Frec:2 LogProb:-14.836165445120939
Palabra:allthenews Frec:1 LogProb:-15.421127945842095
Palabra:ally Frec:1 LogProb:-15.421127945842095
Palabra:almighty Frec:1 LogProb:-15.421127945842095
Palabra:almost Frec:14 LogProb:-12.514237350233577
Palabra:alone Frec:7 LogProb:-13.421127945842096
Palabra:along Frec:8 LogProb:-13.251202944399783
Palabra:alphen Frec:1 LogProb:-15.421127945842095
Palabra:alpine Frec:1 LogProb:-15.421127945842095
Palabra:alps Frec:11 LogProb:-12.836165445120939
Palabra:alrasyid Frec:1 LogProb:-15.421127945842095
Palabra:already Frec:9 LogProb:-13.099199850954733
Palabra:alright Frec:1 LogProb:-15.421127945842095
Palabra:alska Frec:1 LogProb:-15.421127945842095
Palabra:also Frec:23 LogProb:-11.836165445120939
Palabra:alsowhat Frec:1 LogProb:-15.421127945842095
Palabra:alt Frec:1 LogProb:-15.421127945842095
Palabra:alternate Frec:1 LogProb:-15.421127945842095
Palabra:alternative Frec:1 LogProb:-15.421127945842095
Palabra:alternatives Frec:1 LogProb:-15.421127945842095
Palabra:aluminum Frec:1 LogProb:-15.421127945842095
Palabra:always Frec:15 LogProb:-12.421127945842096
Palabra:alwsl Frec:1 LogProb:-15.421127945842095
Palabra:alwx Frec:2 LogProb:-14.836165445120939
Palabra:am Frec:33 LogProb:-11.333665104591756
Palabra:ama Frec:1 LogProb:-15.421127945842095
Palabra:amageddon Frec:1 LogProb:-15.421127945842095
Palabra:amase Frec:1 LogProb:-15.421127945842095
Palabra:amazing Frec:4 LogProb:-14.099199850954733
Palabra:amazon Frec:2 LogProb:-14.836165445120939
Palabra:ambitions Frec:1 LogProb:-15.421127945842095
Palabra:ambulance Frec:29 LogProb:-11.514237350233577
Palabra:ambulances Frec:3 LogProb:-14.421127945842095
Palabra:amcx Frec:1 LogProb:-15.421127945842095
Palabra:amdollela Frec:1 LogProb:-15.421127945842095
Palabra:amdovhot Frec:1 LogProb:-15.421127945842095
Palabra:amen Frec:1 LogProb:-15.421127945842095
Palabra:america Frec:21 LogProb:-11.961696327204798
Palabra:american Frec:26 LogProb:-11.666240443678625
Palabra:americans Frec:2 LogProb:-14.836165445120939
Palabra:amginsys Frec:1 LogProb:-15.421127945842095
Palabra:amh Frec:1 LogProb:-15.421127945842095
Palabra:amid Frec:27 LogProb:-11.613773023784493
Palabra:amidst Frec:1 LogProb:-15.421127945842095
Palabra:amman Frec:1 LogProb:-15.421127945842095
Palabra:amoknd Frec:1 LogProb:-15.421127945842095
Palabra:among Frec:5 LogProb:-13.836165445120939
Palabra:amongst Frec:3 LogProb:-14.421127945842095
Palabra:amp Frec:202 LogProb:-8.75579202865692
Palabra:ampt Frec:1 LogProb:-15.421127945842095
Palabra:amritsar Frec:1 LogProb:-15.421127945842095
Palabra:amssummer Frec:1 LogProb:-15.421127945842095
Palabra:amsterdam Frec:7 LogProb:-13.421127945842096
Palabra:amtrak Frec:1 LogProb:-15.421127945842095
Palabra:amyfj Frec:1 LogProb:-15.421127945842095
Palabra:an Frec:166 LogProb:-9.037423653368043
Palabra:ana Frec:1 LogProb:-15.421127945842095
Palabra:analysis Frec:5 LogProb:-13.836165445120939
Palabra:anarchy Frec:1 LogProb:-15.421127945842095
Palabra:anatomic Frec:1 LogProb:-15.421127945842095
Palabra:anatomy Frec:1 LogProb:-15.421127945842095
Palabra:anchorage Frec:7 LogProb:-13.421127945842096
Palabra:ancient Frec:2 LogProb:-14.836165445120939
Palabra:and Frec:702 LogProb:-6.963747066769559
Palabra:anders Frec:1 LogProb:-15.421127945842095
Palabra:andrea Frec:1 LogProb:-15.421127945842095
Palabra:android Frec:1 LogProb:-15.421127945842095
Palabra:angel Frec:2 LogProb:-14.836165445120939
Palabra:angela Frec:1 LogProb:-15.421127945842095
Palabra:angeles Frec:2 LogProb:-14.836165445120939
Palabra:angelriveralib Frec:2 LogProb:-14.836165445120939
Palabra:angels Frec:1 LogProb:-15.421127945842095
Palabra:anger Frec:1 LogProb:-15.421127945842095
Palabra:angioplasty Frec:1 LogProb:-15.421127945842095
Palabra:angry Frec:10 LogProb:-12.961696327204796
Palabra:ani Frec:2 LogProb:-14.836165445120939
Palabra:animal Frec:4 LogProb:-14.099199850954733
Palabra:animals Frec:3 LogProb:-14.421127945842095
Palabra:anjem Frec:1 LogProb:-15.421127945842095
Palabra:ankle Frec:1 LogProb:-15.421127945842095
Palabra:annihilate Frec:1 LogProb:-15.421127945842095
Palabra:annihilated Frec:12 LogProb:-12.720688227701002
Palabra:annihilating Frec:1 LogProb:-15.421127945842095
Palabra:annihilation Frec:15 LogProb:-12.421127945842096
Palabra:anniv Frec:1 LogProb:-15.421127945842095
Palabra:anniversary Frec:45 LogProb:-10.897565989785083
Palabra:announced Frec:2 LogProb:-14.836165445120939
Palabra:announcement Frec:1 LogProb:-15.421127945842095
Palabra:announces Frec:1 LogProb:-15.421127945842095
Palabra:annoy Frec:1 LogProb:-15.421127945842095
Palabra:annual Frec:4 LogProb:-14.099199850954733
Palabra:anoder Frec:1 LogProb:-15.421127945842095
Palabra:anonymous Frec:1 LogProb:-15.421127945842095
Palabra:another Frec:46 LogProb:-10.866539094164459
Palabra:answer Frec:3 LogProb:-14.421127945842095
Palabra:answers Frec:2 LogProb:-14.836165445120939
Palabra:ant Frec:1 LogProb:-15.421127945842095
Palabra:ante Frec:2 LogProb:-14.836165445120939
Palabra:anthony Frec:2 LogProb:-14.836165445120939
Palabra:anthonys Frec:1 LogProb:-15.421127945842095
Palabra:anthrax Frec:23 LogProb:-11.836165445120939
Palabra:anti Frec:2 LogProb:-14.836165445120939
Palabra:anticipate Frec:1 LogProb:-15.421127945842095
Palabra:antioch Frec:7 LogProb:-13.421127945842096
Palabra:antiochhickoryhollow Frec:1 LogProb:-15.421127945842095
Palabra:antivirus Frec:1 LogProb:-15.421127945842095
Palabra:antonio Frec:2 LogProb:-14.836165445120939
Palabra:anu Frec:1 LogProb:-15.421127945842095
Palabra:anxious Frec:2 LogProb:-14.836165445120939
Palabra:any Frec:28 LogProb:-11.563146950714524
Palabra:anybody Frec:1 LogProb:-15.421127945842095
Palabra:anymore Frec:3 LogProb:-14.421127945842095
Palabra:anyone Frec:10 LogProb:-12.961696327204796
Palabra:anythin Frec:1 LogProb:-15.421127945842095
Palabra:anything Frec:10 LogProb:-12.961696327204796
Palabra:anytime Frec:1 LogProb:-15.421127945842095
Palabra:anyway Frec:1 LogProb:-15.421127945842095
Palabra:anywhere Frec:4 LogProb:-14.099199850954733
Palabra:anza Frec:2 LogProb:-14.836165445120939
Palabra:aod Frec:1 LogProb:-15.421127945842095
Palabra:aodh Frec:1 LogProb:-15.421127945842095
Palabra:aogashima Frec:1 LogProb:-15.421127945842095
Palabra:aoiqus Frec:1 LogProb:-15.421127945842095
Palabra:aoms Frec:2 LogProb:-14.836165445120939
Palabra:aoni Frec:1 LogProb:-15.421127945842095
Palabra:aoskoj Frec:1 LogProb:-15.421127945842095
Palabra:ap Frec:11 LogProb:-12.836165445120939
Palabra:apartheid Frec:1 LogProb:-15.421127945842095
Palabra:apartment Frec:7 LogProb:-13.421127945842096
Palabra:apartments Frec:3 LogProb:-14.421127945842095
Palabra:apaz Frec:1 LogProb:-15.421127945842095
Palabra:apc Frec:12 LogProb:-12.720688227701002
Palabra:apd Frec:1 LogProb:-15.421127945842095
Palabra:apf Frec:1 LogProb:-15.421127945842095
Palabra:apga Frec:1 LogProb:-15.421127945842095
Palabra:aphid Frec:1 LogProb:-15.421127945842095
Palabra:apocalpytic Frec:1 LogProb:-15.421127945842095
Palabra:apocaly Frec:1 LogProb:-15.421127945842095
Palabra:apocalypse Frec:10 LogProb:-12.961696327204796
Palabra:apocalyptic Frec:5 LogProb:-13.836165445120939
Palabra:apollo Frec:5 LogProb:-13.836165445120939
Palabra:apologized Frec:1 LogProb:-15.421127945842095
Palabra:apology Frec:1 LogProb:-15.421127945842095
Palabra:app Frec:8 LogProb:-13.251202944399783
Palabra:appalling Frec:1 LogProb:-15.421127945842095
Palabra:apparent Frec:2 LogProb:-14.836165445120939
Palabra:apparently Frec:3 LogProb:-14.421127945842095
Palabra:appeal Frec:1 LogProb:-15.421127945842095
Palabra:appear Frec:1 LogProb:-15.421127945842095
Palabra:appeared Frec:1 LogProb:-15.421127945842095
Palabra:appears Frec:4 LogProb:-14.099199850954733
Palabra:applaud Frec:1 LogProb:-15.421127945842095
Palabra:apple Frec:2 LogProb:-14.836165445120939
Palabra:applied Frec:2 LogProb:-14.836165445120939
Palabra:applies Frec:1 LogProb:-15.421127945842095
Palabra:apply Frec:1 LogProb:-15.421127945842095
Palabra:appointment Frec:1 LogProb:-15.421127945842095
Palabra:appreciated Frec:1 LogProb:-15.421127945842095
Palabra:appreciativeinquiry Frec:1 LogProb:-15.421127945842095
Palabra:approach Frec:2 LogProb:-14.836165445120939
Palabra:approaches Frec:8 LogProb:-13.251202944399783
Palabra:approaching Frec:2 LogProb:-14.836165445120939
Palabra:approachng Frec:1 LogProb:-15.421127945842095
Palabra:appropriation Frec:2 LogProb:-14.836165445120939
Palabra:approval Frec:1 LogProb:-15.421127945842095
Palabra:approves Frec:1 LogProb:-15.421127945842095
Palabra:approximately Frec:1 LogProb:-15.421127945842095
Palabra:appx Frec:1 LogProb:-15.421127945842095
Palabra:appy Frec:1 LogProb:-15.421127945842095
Palabra:apt Frec:2 LogProb:-14.836165445120939
Palabra:apts Frec:1 LogProb:-15.421127945842095
Palabra:apwj Frec:1 LogProb:-15.421127945842095
Palabra:aq Frec:3 LogProb:-14.421127945842095
Palabra:aqgco Frec:1 LogProb:-15.421127945842095
Palabra:aqk Frec:1 LogProb:-15.421127945842095
Palabra:aqs Frec:1 LogProb:-15.421127945842095
Palabra:aqtum Frec:1 LogProb:-15.421127945842095
Palabra:aquarium Frec:2 LogProb:-14.836165445120939
Palabra:aquatic Frec:1 LogProb:-15.421127945842095
Palabra:aqxedf Frec:1 LogProb:-15.421127945842095
Palabra:ar Frec:14 LogProb:-12.514237350233577
Palabra:ara Frec:1 LogProb:-15.421127945842095
Palabra:arab Frec:2 LogProb:-14.836165445120939
Palabra:arabia Frec:11 LogProb:-12.836165445120939
Palabra:arabian Frec:7 LogProb:-13.421127945842096
Palabra:arabic Frec:1 LogProb:-15.421127945842095
Palabra:arachys Frec:1 LogProb:-15.421127945842095
Palabra:arag Frec:1 LogProb:-15.421127945842095
Palabra:arcadia Frec:1 LogProb:-15.421127945842095
Palabra:arcdw Frec:1 LogProb:-15.421127945842095
Palabra:archipelagowolves Frec:2 LogProb:-14.836165445120939
Palabra:architect Frec:1 LogProb:-15.421127945842095
Palabra:architecture Frec:1 LogProb:-15.421127945842095
Palabra:archive Frec:2 LogProb:-14.836165445120939
Palabra:archives Frec:1 LogProb:-15.421127945842095
Palabra:arci Frec:1 LogProb:-15.421127945842095
Palabra:are Frec:237 LogProb:-8.526310182534152
Palabra:area Frec:47 LogProb:-10.836165445120939
Palabra:areal Frec:1 LogProb:-15.421127945842095
Palabra:areas Frec:13 LogProb:-12.613773023784493
Palabra:aren Frec:5 LogProb:-13.836165445120939
Palabra:arena Frec:1 LogProb:-15.421127945842095
Palabra:arent Frec:1 LogProb:-15.421127945842095
Palabra:arfur Frec:1 LogProb:-15.421127945842095
Palabra:argues Frec:1 LogProb:-15.421127945842095
Palabra:argument Frec:1 LogProb:-15.421127945842095
Palabra:ariz Frec:1 LogProb:-15.421127945842095
Palabra:arizona Frec:1 LogProb:-15.421127945842095
Palabra:arkan Frec:1 LogProb:-15.421127945842095
Palabra:arkansas Frec:1 LogProb:-15.421127945842095
Palabra:arlington Frec:1 LogProb:-15.421127945842095
Palabra:arm Frec:3 LogProb:-14.421127945842095
Palabra:armageddon Frec:6 LogProb:-13.61377302378449
Palabra:armcgvbs Frec:1 LogProb:-15.421127945842095
Palabra:armed Frec:5 LogProb:-13.836165445120939
Palabra:armenians Frec:1 LogProb:-15.421127945842095
Palabra:arms Frec:1 LogProb:-15.421127945842095
Palabra:army Frec:59 LogProb:-10.514237350233577
Palabra:arn Frec:1 LogProb:-15.421127945842095
Palabra:arnhem Frec:4 LogProb:-14.099199850954733
Palabra:arnley Frec:1 LogProb:-15.421127945842095
Palabra:around Frec:26 LogProb:-11.666240443678625
Palabra:arql Frec:1 LogProb:-15.421127945842095
Palabra:arranged Frec:1 LogProb:-15.421127945842095
Palabra:arrest Frec:7 LogProb:-13.421127945842096
